ACN,3181,120803,170315,0,NULL,1044,samtykke service no2,18
ACN,3181,120803,170315,0,NULL,1044,LookUp Security Level 3 120803,1
ACN,3181,120803,222756,0,default,1044,LookUp Security Level 3 120803,1
ACN,3181,120803,222756,0,default,1044,samtykke service no2,18
ACN,3181,120804,170313,0,NULL,1044,LookUp Security Level 1 120804,1
ACN,3181,120804,170313,0,NULL,1044,test samtykke,18
ACN,3181,120805,66145,NULL,NULL,1044,LookUp Security Level 2 120805,1
ACN,4021,1601,96342,NULL,NULL,1044,Dette er for å testes samtykke i produksjonstest,18
ACN,4021,1601,96342,NULL,NULL,1044,Link service for consent,1
ACN,4021,1601,130863,NULL,NULL,1044,Link service for consent,1
ACN,4021,1601,130863,NULL,NULL,1044,"Dette er for å testes samtykke i produksjonstest Testing consent text for {year} and go to <a href=""https://www.folkeuniversitetet.no/"">Visit our website</a> Provide {month} and {mon}  Microservices is an architecture for breaking down “monolithic” applications into stand-alone components connected to one another by API services. Its promise is that dev teams will be able to adapt / deploy applications quickly and flexibly. But what is often lost in considering this architectural path is the increased complexity that comes as a result of the explosion in the number of APIs and the number of potential connections/dependencies along with it. <br>  Given the increased complexity and the inherent difficulties in ensuring API quality, what steps can Accenture teams take to ensure rock-solid quality in microservices applications? <br>  The good news is that Accenture has established a tight partnership with the leader in API quality, SmartBear Software. SmartBear is the creator of the popular open source tool SoapUI, and offers",18
ACN,4021,7868,162369,0,NULL,1033,LinkServiceforMVC,1
ACN,4021,7868,162369,0,NULL,1044,samtykke test,18
ACN,4021,7868,162369,0,NULL,1044,LinkServiceforMVC,1
ACN,4021,9890,183363,0,poa,1044,ACN Fullmakt service,1
ACN,4021,9890,183363,0,poa,1044,test fullmakt,18
ASF,4367,1,95684,NULL,NULL,1044,"Det vil bli gitt innsyn i dine opplysninger om lønn, renter, innskudd og gjeld fra selvangivelsen fra siste år.",18
ASF,4367,1,95684,NULL,NULL,1044,Ligningsopplysninger,1
ASF,4367,1,98271,NULL,NULL,1044,"Det vil bli gitt innsyn i dine opplysninger om lønn, renter, innskudd og gjeld fra selvangivelsen fra siste år.",18
ASF,4367,1,98271,NULL,NULL,1044,Ligningsopplysninger,1
